filename,zcr_mean,zcr_std,zcr_max,rms_mean,rms_std,rms_max,signal_entropy,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_flux_mean,spectral_flux_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta_mfcc_9_mean,delta_mfcc_9_std,delta_mfcc_10_mean,delta_mfcc_10_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta_mfcc_13_mean,delta_mfcc_13_std,delta2_mfcc_1_mean,delta2_mfcc_1_std,delta2_mfcc_2_mean,delta2_mfcc_2_std,delta2_mfcc_3_mean,delta2_mfcc_3_std,delta2_mfcc_4_mean,delta2_mfcc_4_std,delta2_mfcc_5_mean,delta2_mfcc_5_std,delta2_mfcc_6_mean,delta2_mfcc_6_std,delta2_mfcc_7_mean,delta2_mfcc_7_std,delta2_mfcc_8_mean,delta2_mfcc_8_std,delta2_mfcc_9_mean,delta2_mfcc_9_std,delta2_mfcc_10_mean,delta2_mfcc_10_std,delta2_mfcc_11_mean,delta2_mfcc_11_std,delta2_mfcc_12_mean,delta2_mfcc_12_std,delta2_mfcc_13_mean,delta2_mfcc_13_std
R26_0001_1.WAV,0.043226003646850586,0.021952134119751738,0.29150390625,0.048210513,0.0525293,0.86790156,11.496598,1258.3162056390347,446.4407427351614,1893.306814013107,399.1572869215136,773.205,2858.8794,2636.4130720496178,1283.1333878935275,0.00372474,0.0065494888,-271.8299,43.15804,120.20578,25.173576,24.859312,15.149569,27.24783,12.387184,15.080547,11.540352,3.3625057,9.646884,1.8795667,8.562554,-0.2182374,7.9766164,-1.9354973,8.760319,2.1652415,7.6846814,1.972871,7.917433,0.705467,7.352334,2.0148764,6.7559204,0.0086372625,4.3474054,0.007775912,2.8198428,0.0022730683,2.4147618,0.0017293134,2.0042043,0.0011486302,1.8860714,0.000209052,1.528492,-7.2100025e-05,1.4154874,-0.00086471613,1.3139056,-0.0005692356,1.3679597,-0.00010514306,1.2567458,-0.00029814616,1.2645125,7.2909635e-05,1.2090969,0.0002937658,1.0912728,-8.129282e-05,2.6914456,-0.00044719514,1.8758215,-0.00020102807,1.557206,0.00028106497,1.2468783,6.8395006e-05,1.1991817,7.672423e-05,1.0214372,0.00026078863,0.93594545,0.0003292838,0.88126534,0.00011015046,0.9111788,-0.0005006504,0.834199,-0.00063231395,0.82888055,-0.0002972281,0.80512166,-0.00027583665,0.74145645
R26_0002_1.WAV,0.0343533456325531,0.01777346860272368,0.17138671875,0.16076165,0.18538174,0.8583306,12.042891,920.274341533067,372.10647098310045,1498.4660501654807,428.15608084252455,7119.4717,20369.23,1732.598139345646,1096.75162080922,0.0011680666,0.0022500046,-227.99321,57.171505,141.97095,24.863644,24.26101,14.196364,35.76684,11.207932,14.719508,9.316536,8.478861,9.246529,3.743823,7.5337796,-4.179311,8.232612,-6.844472,7.4942417,-3.9874332,8.661588,2.4770424,6.84365,-0.15334758,6.2481365,0.8471938,6.096343,0.0018401754,3.4695706,0.0016827751,2.193991,0.00039450335,1.7988402,-3.1389878e-05,1.4603134,0.00033405086,1.3354087,0.00022351759,1.2120966,-0.00050440204,1.097091,-0.00077396864,1.1366369,-0.0009655518,1.0607462,-0.00013476243,1.145496,0.0008224207,1.0504855,-5.067853e-05,0.9474143,-0.00034047884,0.9007705,-0.00033428075,2.244368,-0.000199541,1.4018372,8.670082e-05,1.1154367,0.00022468116,0.9805512,0.00015058243,0.8650113,-0.00045604364,0.80717903,-0.00029418385,0.7220847,0.0003130925,0.73576444,0.00019221297,0.68260664,0.00025175372,0.74230796,0.00025420406,0.68614054,-8.6621265e-05,0.6404948,-0.0003379701,0.60274875
R26_0003_1.WAV,0.019246429204940796,0.011169982254234486,0.07568359375,0.069367304,0.05231173,0.45249376,12.8961315,675.296475987765,257.5576795150335,1287.4230954301242,314.9624974872924,937.45337,2825.5034,1110.8912989497185,743.7205894441978,0.00035309052,0.0010051571,-329.0147,54.721462,122.92511,29.386923,36.237244,18.018955,35.910484,9.824144,25.228268,8.292519,13.777403,8.118231,7.584034,7.1762033,-1.4910713,8.041363,-4.7028255,8.862242,-2.7151072,8.858034,4.9524126,7.221252,5.3482246,7.011957,6.2833567,5.792417,-0.00785848,3.6321328,-0.0038896361,1.8352294,0.00061584637,2.1884105,9.744053e-05,1.4760355,0.00074973574,1.3519984,-0.00019656593,1.2759303,-8.970208e-05,1.0657723,0.0006149272,1.0984815,0.00083184167,1.1896564,-5.4359552e-05,1.172647,-0.00032137166,1.0996349,0.0007695701,0.98098093,0.0011148815,0.9109906,0.00093244435,2.3978405,-0.0011392375,1.1630504,-0.0010462551,1.3454893,-0.00019592966,0.9057512,-0.00015133551,0.8787331,0.0007107103,0.8398165,0.00064364984,0.6836398,0.0003426167,0.7353069,7.831173e-05,0.75629115,0.00023073785,0.75287235,8.24508e-05,0.70578235,0.00024468062,0.6403574,0.00021309961,0.59822124
R26_0004_1.WAV,0.027949273586273193,0.012218367199589424,0.13232421875,0.01845762,0.01942371,0.23595679,11.98425,792.6520943165592,290.32496535737505,1467.9503324156979,380.6798483405544,71.976036,379.83432,1304.732184112072,872.8710999239823,0.00077639055,0.0012641631,-433.474,27.760239,115.60834,17.781378,51.744263,12.511623,31.937767,10.153741,22.04335,8.780781,8.596436,7.9134,0.99170405,7.724096,-3.2503524,8.233989,-4.6559234,8.289355,-1.0209876,7.650295,3.1686878,6.5043325,3.4772742,6.1264997,3.6314363,5.6350164,0.0026513638,2.5376472,0.0021953715,1.7823657,0.00047065108,1.5977005,0.00045716955,1.5066057,-5.8049336e-05,1.2945292,-0.0010736089,1.137852,-0.001233658,1.0451888,-0.0009830131,1.0561037,-0.0005042503,1.0617257,0.00026169565,1.0418684,0.00067031087,0.97888345,0.0002910872,0.94053626,-0.00020469844,0.9157588,-0.0017922481,1.580747,-0.001085951,1.1264075,0.0004763733,0.9700584,-2.1518914e-05,0.92820704,-0.00045982486,0.8426191,-8.169989e-05,0.7469165,0.00042632053,0.68214417,0.000732192,0.674397,0.0003193436,0.6909249,-0.00013206457,0.6775969,0.00010650174,0.629309,7.230597e-05,0.623034,-0.0003940509,0.6074626
R26_0005_1.WAV,0.026729613542556763,0.010853411395279993,0.06884765625,0.03704573,0.03452341,0.76962525,11.791249,720.5765506878766,227.5694019418115,1309.6962767943637,280.60724394516797,203.56451,482.428,1097.179390490055,621.3018225919199,0.0003845063,0.0006324732,-342.8665,32.945847,107.9151,22.201725,49.99361,12.217698,28.479162,9.795852,21.238764,7.4936056,13.038483,7.0801744,1.3155073,6.782226,-7.918817,8.507131,-9.129257,8.700658,-4.394976,7.724609,0.9013208,6.144273,-0.49681222,6.5785003,-0.63461804,6.7132444,0.004561164,3.0753355,0.0030926205,1.898125,-0.00023479725,1.6109816,0.000595653,1.3023502,0.0010118214,1.1191592,0.00086078316,1.0477105,0.0010974221,0.9708903,0.00081195275,1.0314468,0.00031747433,1.0333406,-0.00020523672,1.0324018,-0.0004744035,0.8750031,-0.000324987,0.8668778,-0.0002597135,0.8857471,-0.00010448278,2.3907652,-0.00039445737,1.384251,-0.00056822755,1.1080767,-0.00073431234,0.84377044,-0.0009176655,0.7183212,-0.0005506759,0.70724726,-0.00010451971,0.65887105,5.4491626e-05,0.71164566,-5.250082e-05,0.70450914,-0.00019913074,0.70655745,-0.00016288622,0.5835236,-0.000108873515,0.56094164,-0.0001742713,0.5779042
R26_0006_1.WAV,0.038470566272735596,0.017661988890285828,0.1826171875,0.05334945,0.05424455,0.5384677,12.215825,884.1916000986471,325.1322191470761,1328.7033753666242,293.0256104600662,674.3236,2501.7087,1568.9785212278366,898.4717402383969,0.00085534016,0.004593819,-317.6151,34.42218,122.853134,19.874409,30.92564,14.178224,29.800936,11.748721,17.74474,9.247646,5.541788,10.89299,-2.475801,8.935817,-11.007423,8.471297,-14.138981,8.735998,-11.52623,7.5641828,0.5796178,7.0461764,1.2417668,7.188031,2.669392,6.477561,-0.0026877383,2.795141,-0.001751137,1.6029027,-0.0005559727,1.7235215,0.0002869859,1.3952858,0.000111125526,1.2285182,-0.0011408038,1.1315323,-0.0008649331,1.0086583,-0.0019225344,1.0268643,-0.0016016013,1.0384042,-0.0011756201,1.0551735,-0.0010074906,1.0097842,0.00020273024,0.95401883,-0.0003399799,0.9699705,0.0026971407,2.0908198,0.00048251322,1.0047367,-0.0011208898,1.1067263,0.00027155143,0.9379187,-1.2761127e-05,0.77216685,-0.0003407274,0.7332047,-0.00029008952,0.6332842,-1.4608668e-06,0.6520122,-0.000152969,0.6568857,3.8096332e-06,0.68241554,0.00016908796,0.6456076,0.00020100482,0.6155671,0.00013473487,0.6128626
R26_0007_1.WAV,0.0327296257019043,0.009163132302077364,0.08935546875,0.066680565,0.028716283,0.21595615,13.528252,716.5770660513235,160.9349900691793,1148.3681060093995,179.78609838446658,602.3993,899.518,1050.4947647452354,509.0697230356831,0.0001444845,0.0001825592,-316.25262,27.770756,161.1691,11.501525,16.089378,12.955809,46.00468,9.6538315,12.52282,10.162121,4.983,7.8582697,-2.8717165,7.695038,-13.451394,7.5637794,-17.246864,7.4039617,-14.94217,7.668068,3.3217213,7.894684,-0.096181214,6.8103986,3.025323,6.247102,0.0032256045,3.785191,0.0006642566,1.7801076,0.00012083631,2.2916267,0.0009984712,1.423927,0.00050229114,1.475145,0.0011187834,1.3546361,0.00024685508,1.1560442,0.00087945425,1.1862515,0.00028496698,1.2721772,0.00026487996,1.2986432,-0.00047936908,1.2301277,-0.0011715877,1.1235011,0.00031791997,1.0632985,-0.00016934972,2.5865574,0.00023507912,1.2158728,0.00038159668,1.2931036,6.8802183e-06,0.954334,9.115838e-05,0.8578167,-7.923017e-05,0.90059775,0.0003800525,0.75383264,0.00023762815,0.76164925,-0.00027691212,0.7969439,0.00027323226,0.80775857,0.0001807184,0.7463405,-0.00023392495,0.70865864,-0.0003375413,0.65804976
R26_0008_1.WAV,0.03193983435630798,0.013754025948469525,0.14501953125,0.05935412,0.0337418,0.35580721,13.237755,781.8424119244921,269.8532725092159,1218.8733328440385,253.61793114751327,652.95447,1356.8214,1333.7653398513794,737.0552305256275,0.00073248195,0.0039206236,-310.11676,28.53752,145.45764,15.547971,20.061398,13.552914,37.03315,11.522963,22.099098,10.171309,-1.1720645,8.028195,-2.1501737,7.64085,-8.262748,6.7560525,-14.601984,7.6892796,-11.022551,7.0337143,0.55322003,7.3665404,0.5453661,7.0964518,3.3859098,6.157151,-0.000103917555,3.4260547,-0.0008919032,1.6335119,-0.0008844186,2.132283,-0.00042493833,1.5462497,-0.0011402187,1.4794234,-0.00033339672,1.2355331,0.0010991262,1.1239511,0.0011634975,1.1034389,0.0006035159,1.3072547,-0.0002042352,1.1233368,-0.00014774705,1.1222355,0.0005400706,1.1398253,0.001490846,0.95726883,-0.00037811854,2.3042638,-0.00044247316,1.0599688,-0.00025901635,1.2969493,7.546242e-05,0.96013415,0.00025855005,0.9000965,2.2597014e-05,0.7942164,7.879958e-05,0.7232989,0.0003859476,0.734907,0.00014674115,0.8543597,-0.00051737454,0.7389682,-0.0006366955,0.7157396,-0.00014005766,0.7036785,-7.0173264e-05,0.62610286
R26_0009_1.WAV,0.02888551354408264,0.010882599495876574,0.1005859375,0.048973717,0.023607606,0.16254976,13.440141,765.5755388919872,194.02044940982537,1228.1012605872243,197.6623538987276,420.24335,584.7431,1312.305736541748,606.3772254806945,0.00027218036,0.00039247834,-333.8476,31.941769,162.88309,12.463392,7.518613,14.769823,44.647186,11.390363,14.977153,11.017265,3.195575,8.842413,-0.9372346,8.559625,-8.477616,6.7418056,-13.661367,7.5704536,-9.289976,7.312763,2.6821923,7.9609504,-1.844552,7.2957163,3.5837328,6.2820582,-0.003935676,3.7246823,0.0013124595,2.0019886,0.0022532986,2.136002,-0.00026644554,1.5126348,0.0009097295,1.6099644,-7.978437e-05,1.4219512,0.00037945894,1.2492262,0.00017923984,1.1459503,0.00033327457,1.3018131,-0.00041836652,1.210542,-0.00035486996,1.2189406,0.00016658314,1.2084438,-0.00010223739,1.0562814,0.00039940007,2.45947,0.00033098462,1.2306495,0.00049238896,1.2511557,-9.203909e-05,0.94437015,-7.833459e-05,0.9459365,0.00036384028,0.929154,8.751784e-06,0.793167,0.000118775,0.7411704,0.00044407233,0.8211115,0.00018352157,0.79089135,-1.674694e-05,0.75860155,0.00015031477,0.73067015,0.00011554407,0.6811411
R26_0010_1.WAV,0.022696256637573242,0.009244146251680336,0.10986328125,0.06044837,0.028384447,0.2758024,13.471145,670.9257059801929,179.99833327602354,1184.3307670107804,218.7046352251569,646.37744,799.80493,1039.9331912398338,530.9829852866606,0.0002046373,0.00036369482,-326.66364,25.133398,151.36389,12.080196,24.814247,14.061904,37.583176,11.64458,24.228708,10.08182,4.954769,8.4135895,1.5792854,7.669014,-6.31038,6.987788,-10.52637,8.3551235,-6.229413,7.3121266,0.27122235,7.4655066,0.2598621,7.040519,4.650137,6.0409784,0.0027124255,4.409139,-0.0017912738,1.9207397,-0.0033046782,2.6359558,-0.0006683703,1.6654578,-0.0010189662,1.5928347,0.00027009315,1.398495,-0.0002140486,1.2292935,-0.00023159904,1.1775732,2.3568864e-05,1.5030459,0.00017972951,1.1744022,0.00042375183,1.1486022,-0.0003284198,1.1243386,-0.00029147806,1.0394136,-0.00077339244,2.9600272,-0.0010407212,1.2712196,0.0007250798,1.5732298,0.00063959864,1.0543944,-0.00011612341,0.97009194,0.0004417937,0.9100198,-0.00020625324,0.7813781,0.00095191534,0.7988238,0.001632893,0.91485023,-0.0002601645,0.76146245,-0.00052539445,0.75774723,0.00025733543,0.7331582,6.7614455e-06,0.67582303
